Date,Close,Unadjusted_close,High,Low,Open,Volume
2020-09-14,23.45,23.45,23.45,23.33,23.33,3518
2020-09-15,24.32,24.32,24.32,23.35,23.35,9639
2020-09-16,24.69,24.69,24.69,24.0,24.01,17711
2020-09-17,24.12,24.12,24.26,24.12,24.26,16884
2020-09-18,24.03,24.03,24.74,24.03,24.74,3721
2020-09-21,21.64,21.64,23.51,21.64,23.44,43271
2020-09-22,21.83,21.83,22.13,21.5,22.13,23607
2020-09-23,21.75,21.75,22.39,21.75,21.88,12077
2020-09-24,21.0,21.0,21.84,21.0,21.51,26967
2020-09-25,21.03,21.03,21.26,20.76,21.26,16914
2020-09-28,21.83,21.83,21.85,21.28,21.28,10985
2020-09-29,21.09,21.09,21.76,21.09,21.76,15838
2020-09-30,21.33,21.33,21.33,21.0,21.2,52607
2020-10-01,21.59,21.59,21.59,21.42,21.42,3409
2020-10-02,21.5,21.5,21.5,21.33,21.33,3019
2020-10-05,21.85,21.85,21.99,21.7,21.7,5093
2020-10-06,22.88,22.88,22.88,21.89,21.89,7065
2020-10-07,22.17,22.17,22.68,22.17,22.58,5279
2020-10-08,23.11,23.11,23.17,22.39,22.45,15457
2020-10-09,23.97,23.97,24.16,23.08,23.1,104254
2020-10-12,23.86,23.86,24.52,23.84,23.89,9323
2020-10-13,23.1,23.1,24.15,23.1,24.15,11164
2020-10-14,22.11,22.11,23.07,22.11,23.07,52527
2020-10-15,21.73,21.73,22.18,21.49,22.18,33360
2020-10-16,21.61,21.61,21.97,21.61,21.93,11444
2020-10-19,21.87,21.87,21.88,21.54,21.54,17604
2020-10-20,22.21,22.21,22.21,21.59,21.59,18488
2020-10-21,22.12,22.12,22.32,21.86,22.32,4417
2020-10-22,22.56,22.56,22.56,21.79,21.8,5840
2020-10-23,23.41,23.41,23.42,22.66,22.66,12970
2020-10-26,22.12,22.12,22.61,22.12,22.55,10509
2020-10-27,21.46,21.46,22.04,21.44,22.02,36280
2020-10-28,20.73,20.73,21.22,20.6,21.22,69281
